Sample Name,Mean target coverage
I-H-133435-T2-1-D1-2,1314.6
I-H-133435-T1-1-D1-2,1309.6
I-H-133432-T1-1-D1-2,1181.1
I-H-107652-T5-1-D1-2,1100.8
I-H-107650-T1-1-D1-2,1084.2
I-H-118729-T2-1-D1-2,1080.1
I-H-133436-T1-1-D1-2,1038.7
I-H-107650-T1-1-D1-1,1015
I-H-107650-T4-1-D1-2,1006
I-H-118725-T2-1-D1-2,1003.8
I-H-107649-T5-1-D1-2,1003.4
I-H-133431-T6-1-D1-2,998.6
I-H-133430-T4-1-D1-2,997.5
I-H-118737-T2-1-D1-2,982.7
I-H-118741-T2-1-D1-2,982.6
I-H-133431-T2-1-D1-2,970.7
I-H-118739-T4-1-D1-2,969
I-H-133428-T2-1-D1-2,941.3
I-H-133522-T1-1-D1-2,936.1
I-H-133434-T2-1-D1-2,916.9
I-H-133428-T1-1-D1-2,915.9
I-H-107652-T1-1-D1-2,905.8
I-H-118733-T4-1-D1-2,901
I-H-133434-T1-1-D1-2,890.9
I-H-118737-T3-1-D1-2,890.1
I-H-118733-T3-1-D1-2,884.2
I-H-118742-T2-1-D1-2,880.9
I-H-118739-T6-1-D1-2,869.1
I-H-133522-T6-1-D1-2,867.5
I-H-118729-T4-1-D1-2,865.7
I-H-133436-T5-1-D1-2,861.7
I-H-133432-T2-1-D1-2,858.1
I-H-118741-T6-1-D1-2,854.2
I-H-118730-T2-1-D1-2,853.6
I-H-133435-T2-1-D1-1,850.2
I-H-133433-T1-1-D1-2,846.1
I-H-107652-T1-1-D1-1,844.9
I-H-133435-T1-1-D1-1,839.5
I-H-133433-T2-1-D1-2,830.8
I-H-118737-T4-1-D1-2,828.7
I-H-133431-T4-1-D1-2,828.3
I-H-133436-T6-1-D1-2,823.2
I-H-107652-T5-1-D1-1,821.6
I-H-107651-T5-1-D1-2,821.5
I-H-133431-T5-1-D1-2,817.7
I-H-118725-T4-1-D1-2,815.3
I-H-107651-T3-1-D1-2,814
I-H-133433-T5-1-D1-2,811.9
I-H-133887-N1-1-D1-2,809.3
I-H-118738-T2-1-D1-2,808.3
I-H-133522-T4-1-D1-2,808.1
I-H-107651-T7-1-D1-2,805.2
I-H-133522-T5-1-D1-2,804.8
I-H-133433-T4-1-D1-2,803.6
I-H-133890-N1-1-D1-2,799.5
I-H-133434-T3-1-D1-2,797.9
I-H-133522-T9-1-D1-2,796.2
I-H-133522-T3-1-D1-2,795.8
I-H-133437-T1-1-D1-2,795.5
I-H-133523-T6-1-D1-2,792.5
I-H-107649-T1-1-D1-2,791.8
I-H-133427-T1-1-D1-2,790.6
I-H-118733-T2-1-D1-2,790.4
I-H-133523-T5-1-D1-2,784.4
I-H-107651-T1-1-D1-2,784.2
I-H-118734-T1-2-D1-2,782.9
I-H-107652-T3-1-D1-2,782.1
I-H-118741-T7-1-D1-2,777
I-H-118726-T2-1-D1-2,776.6
I-H-133429-T2-1-D1-2,776.3
I-H-118729-T3-1-D1-2,775.7
I-H-133427-T2-1-D1-2,775.6
I-H-133431-T3-1-D1-2,773
I-H-118741-T2-1-D1-1,769.3
I-H-133430-T4-1-D1-1,767.8
I-H-133430-T2-1-D1-2,764.9
I-H-133893-N1-1-D1-2,763.1
I-H-118728-T4-1-D1-2,762.9
I-H-107650-T3-1-D1-2,762.2
I-H-118740-T6-1-D1-2,762.2
I-H-133431-T2-1-D1-1,761.7
I-H-118732-T1-2-D1-2,760.9
I-H-118738-T4-1-D1-2,760.7
I-H-133432-T1-1-D1-1,756.5
I-H-118742-T3-1-D1-2,755.8
I-H-133431-T1-1-D1-2,753.8
I-H-118739-T4-1-D1-1,751.4
I-H-133430-T3-1-D1-2,749.7
I-H-133430-T5-1-D1-2,748.6
I-H-118731-T2-1-D1-2,748
I-H-133429-T1-1-D1-2,747
I-H-118733-T1-2-D1-2,743.1
I-H-107652-T2-1-D1-2,742.7
I-H-118740-T7-1-D1-2,741.9
I-H-107649-T1-1-D1-1,741.4
I-H-118739-T7-1-D1-2,736.1
I-H-107651-T6-1-D1-2,735.9
I-H-107651-T1-1-D1-1,733.9
I-H-118729-T2-1-D1-1,732.4
I-H-118741-T3-1-D1-2,731.1
I-H-133429-T3-1-D1-2,731
I-H-133893-N2-1-D1-2,727.7
I-H-133897-N2-1-D1-2,726.6
I-H-118742-T4-1-D1-2,724.9
I-H-107652-T4-1-D1-2,724.7
I-H-133898-N1-1-D1-2,723.9
I-H-133882-N2-1-D1-2,722.4
I-H-133892-N1-1-D1-2,722.3
I-H-107649-T3-1-D1-2,720.3
I-H-118728-T3-1-D1-2,719.7
I-H-118731-T1-2-D1-2,718.8
I-H-133432-T4-1-D1-2,718.6
I-H-107651-T4-1-D1-2,717
I-H-133437-T3-1-D1-2,713.4
I-H-133895-N2-1-D1-2,711.9
I-H-133889-N2-1-D1-2,710.5
I-H-133522-T8-1-D1-2,710.2
I-H-133437-T2-1-D1-2,708.5
I-H-133431-T7-1-D1-2,707.3
I-H-118741-T8-1-D1-2,707
I-H-118735-T1-2-D1-2,706.9
I-H-133523-T4-1-D1-2,706
I-H-133437-T4-1-D1-2,705.7
I-H-133886-N1-1-D1-2,705.1
I-H-118736-T2-1-D1-2,704.6
I-H-107651-T2-1-D1-2,704.4
I-H-118738-T5-1-D1-2,704.4
I-H-133892-N2-1-D1-2,702.5
I-H-133436-T2-1-D1-2,702.2
I-H-133434-T1-1-D1-1,701.6
I-H-133433-T6-1-D1-2,701
I-H-133435-T5-1-D1-2,700.2
I-H-133430-T1-1-D1-2,697.5
I-H-118735-T4-1-D1-2,697
I-H-118738-T3-1-D1-2,696.3
I-H-133434-T2-1-D1-1,696.2
I-H-133882-N1-1-D1-2,696
I-H-133435-T3-1-D1-2,694
I-H-118740-T8-1-D1-2,693.1
I-H-118729-T1-2-D1-2,690.9
I-H-133887-N2-1-D1-2,690.1
I-H-118742-T2-1-D1-1,689.1
I-H-133427-T3-1-D1-2,688.3
I-H-133522-T2-1-D1-2,686.4
I-H-118733-T4-1-D1-1,682.9
I-H-118726-T3-1-D1-2,682
I-H-118727-T1-2-D1-2,681.6
I-H-133435-T4-1-D1-2,681.2
I-H-118731-T3-1-D1-2,679.7
I-H-133433-T2-1-D1-1,679.7
I-H-133432-T3-1-D1-2,678.9
I-H-118739-T6-1-D1-1,677.1
I-H-133883-N1-1-D1-2,677
I-H-133436-T3-1-D1-2,676.1
I-H-107650-T2-1-D1-2,675.7
I-H-118730-T2-1-D1-1,675.2
I-H-133436-T1-1-D1-1,674.5
I-H-118727-T4-1-D1-2,674.2
I-H-118741-T5-1-D1-2,673.5
I-H-133891-N2-1-D1-2,673.5
I-H-118739-T2-1-D1-2,672.5
I-H-133432-T5-1-D1-2,672.5
I-H-133436-T5-1-D1-1,672.1
I-H-118725-T3-1-D1-2,671.5
I-H-133887-N1-1-D1-1,668.7
I-H-118728-T2-1-D1-2,666.8
I-H-133885-N1-1-D1-2,665.9
I-H-118729-T5-1-D1-2,664.9
I-H-133896-N2-1-D1-2,664.1
I-H-118734-T3-1-D1-2,663
I-H-107650-T4-1-D1-1,662.6
I-H-118739-T3-1-D1-2,662.6
I-H-133431-T6-1-D1-1,661
I-H-107649-T5-1-D1-1,660.7
I-H-118741-T1-2-D1-2,660.2
I-H-133523-T1-1-D1-2,659.5
I-H-133522-T6-1-D1-1,659.2
I-H-133890-N1-1-D1-1,657
I-H-133436-T4-1-D1-2,655.1
I-H-133437-T5-1-D1-2,654
I-H-133523-T2-1-D1-2,654
I-H-133891-N1-1-D1-2,653.3
I-H-118727-T2-1-D1-2,652.8
I-H-133433-T1-1-D1-1,650.4
I-H-133436-T6-1-D1-1,649.2
I-H-107651-T3-1-D1-1,647.3
I-H-133431-T5-1-D1-1,646.6
I-H-118733-T6-1-D1-2,645.3
I-H-118741-T6-1-D1-1,644.1
I-H-118725-T2-1-D1-1,641.7
I-H-118737-T2-1-D1-1,641.6
I-H-118741-T4-1-D1-2,641
I-H-118735-T2-1-D1-2,640.1
I-H-133428-T2-1-D1-1,639.9
I-H-118738-T2-1-D1-1,638.8
I-H-133437-T1-1-D1-1,637.4
I-H-118728-T5-1-D1-2,636.3
I-H-133433-T3-1-D1-2,635.6
I-H-118727-T3-1-D1-2,635.3
I-H-133522-T1-1-D1-1,633.9
I-H-107649-T4-1-D1-2,633.7
I-H-118734-T1-2-D1-1,633
I-H-118740-T5-1-D1-2,632.5
I-H-118739-T5-1-D1-2,632
I-H-118726-T2-1-D1-1,631.2
I-H-107651-T7-1-D1-1,629.8
I-H-118728-T6-1-D1-2,629.8
I-H-133434-T3-1-D1-1,629.7
I-H-133893-N1-1-D1-1,628
I-H-133522-T5-1-D1-1,627.5
I-H-118732-T1-2-D1-1,626.6
